Depth (ft),Area (ft2),Width (ft),Perimeter (ft),no_panel,panel_all,panel6,panel_random,panel34
0,0,1.618,1.618,0,0,0,0,0
0.098,0.298,10.915,10.922,0.8,1.56,0.8,0.81,0.8
0.131,0.725,18.325,18.335,2.5,3.65,2.5,2.52,2.5
0.164,1.336,18.905,18.928,6.78,7.79,6.78,6.79,6.78
0.197,1.983,22.177,22.214,11.77,13.71,11.77,11.8,11.77
0.262,3.565,27.65,27.716,27,31.34,27,27.28,27
1.083,27.32,31.893,32.446,723.98,769.7,723.98,749.16,723.98
1.444,39.039,34.666,35.434,1237.6,1342.05,1237.6,1276.86,1237.6
1.903,55.227,37.438,38.589,2084.33,2285.58,2084.33,2213.17,2084.33
3.379,112.282,41.468,44.072,6224.48,6843.02,6224.48,6686.47,6224.48
4.429,156.871,43.473,47.045,10405.24,11400.48,10405.24,11185.69,10405.24
4.495,159.753,45.988,49.584,10356.44,11721.23,10587.86,11483.05,10587.86
4.528,161.336,52.096,55.705,9741.89,11883.51,10681.85,11627.14,10681.85
4.56,163.065,54.972,58.594,9587.94,12047.8,10547.04,11704.66,10778.42
5.02,188.687,58.207,61.893,11789.62,14543.42,12556.46,14073.22,13258.39
